,코인 명,공시 명,날짜
0,THETA," 쎄타랩스, 분산형 비디오 및 데이터 전송을 지원하기 위한 초고 트랜잭션 처리량 소액 결제에 대한 두번째 미국특허취득",2021.03.16
1,PXL," 픽션 네트워크, 신임 대표이사 선출",2021.03.15
2,RINGX," RINGX 재단, OK캐쉬백((주)위페이)과 ‘마이비(Mivy)’ 플랫폼 전환 협업 진행",2021.03.15
3,TON, 토카막 다오 베타 출시,2021.03.15
4,BFC, [기공개] Bifrost - BFC 소각 공시,2021.03.15
5,SOLVE, [기공개] APAC 시장 입지 강화를 위한 솔브케어 한국오피스 개소,2021.03.11
6,UPP," [기공개] 웁살라시큐리티, 코인데스크코리아와 ‘암호화폐 범죄 신고센터’ 서비스 런칭 계약 체결",2021.03.11
7,STPT," STP, 15억 원 상당 장내 매수 공시",2021.03.11
8,IOST," [기공개] 아이오에스티(IOST), 글로벌 NFT 콘텐츠 유통 플랫폼 ‘팔레트 컨소시엄' 합류",2021.03.11
9,FCT2," 피르마체인, 블루힐릭스 코리아와 파트너십 체결",2021.03.11
10,PICA," [일부 기공개] 피카프로젝트, 국내 최초 유명 아티스트 작품 NFT ERC-721 배포 및 판매 론칭",2021.03.10
11,MBL," 무비블록, Origine Films와 협약 체결",2021.03.10
12,MARO, 2021년 상반기 로드맵 업데이트 및 자율주행데이터 사업 진출 공시,2021.03.10
13,ORBS," [기공개] 오브스(Orbs), 온체인데이터 커뮤니티 콘솔 출시",2021.03.10
14,PCI," 페이코인, SSG Money 전환 서비스 재개 안내",2021.03.09
15,OBSR, 옵저버 토큰 (OBSR) 재락업 설정 공지,2021.03.09
16,ICX," 아이콘(ICON), 스테이블스왑 Defi 프로젝트 ‘Equality’ 출시 계획 발표",2021.03.09
17,AHT, [기공개] 아하토큰 유통량 하향 조정 공지,2021.03.08
18,PXL," 픽션네트워크, 약 56 억 규모 ‘픽션 네트워크 NFT 그랜트’ 출범",2021.03.08
19,AERGO, AERGO 2021 로드맵 업데이트,2021.03.05
20,HBAR, [일부 기공개] 헤데라 거버닝 카운슬 업데이트 - 새로운 멤버 합류,2021.03.04
21,ICX," [기공개] 아이콘(ICON) 재단, ICX 홀더 대상 Balanced 토큰 Airdrip(연속적 에어드롭) 진행",2021.03.04
22,TON, TON 소각 공시,2021.03.04
23,ENJ," ENJIN (엔진코인), NFT 지원 및 가스 비용 없는 (스케일링) 솔루션 공개",2021.03.04
24,POWR, [기공개] 파워렛저가 인도 델리에서 최초의 P2P 에너지 거래를 선보이다,2021.03.03
25,BFC, BiFi UI 및 이자율 알고리즘 개선,2021.03.03
26,META," 메타디움, 탈중앙화 거래소(DEX) 기반 비트코인(BTC)/이더리움(ETH) 결제 플랫폼 출시 계획 발표",2021.03.03
27,DKA," 디카르고, 이지고와 '카카오페이 배송' 서비스 관련 물류 데이터 협업 게시",2021.03.03
28,TSHP, 12Ships 재단은 TSHP 토큰의 바이백 및 소각을 완료했습니다,2021.03.03
29,CRO," 크립토닷컴, 애스턴 마틴 포뮬러 원 팀과 파트너쉽 체결",2021.03.02
30,MOC," 모스랜드, 마케팅 활용 목적으로 모스코인 바이백 진행",2021.03.02
31,MVL," 캄보디아 정부, MVL에 투자 승인 발표",2021.02.18
32,BORA," BORA(보라) 운영사 ‘웨이투빗’, ‘카카오게임즈’ 계열사 편입 안내",2021.02.18
33,SSX," 썸씽(SSX), 장내 매수 진행 공시",2021.02.17
34,IOST, 아이오에스티(IOST) 홀더에게 도니 파이낸스팀의 돈(DON) 토큰 에어드랍 진행,2021.02.17
35,TON," 토카막 네트워크, 소바와 업무협력 파트너십 체결 공시",2021.02.17
36,PXL," 픽션네트워크, NFT 플랫폼 프리뷰 공개",2021.02.17
37,PLA, 플레이댑 ‘크립토도저 for LINE Blockchain’ 17일일본 구글플레이스토어에 정식 출시,2021.02.17
38,TON," 토카막 네트워크, 톡큰 스테이킹 오퍼레이터 참여 공시",2021.02.17
39,QTCON, 퀴즈톡 정보보호 관리체계(ISMS) 인증 획득,2021.02.17
40,PCI," 다날핀테크, 페이코인 앱에서 비트코인(BTC) 결제 지원",2021.02.17
41,NXPS, NPXS 액면병합에 대한 커뮤니티 투표 진행,2021.02.17
42,IGNIS," Jelurida, 업비트에 Ignis 셔플링 사용 계정 전체를 식별하는 솔루션 제공",2021.02.16
43,ONIT, 온버프와 체인링크 파트너십 체결,2021.02.16
44,ITAM, 아이텀 NFT 중앙화 거래 플랫폼 NFT FARM 거버넌스 기능 추가,2021.02.15
45,BFC, BiFi USDC 지원 및 추가 언어 지원,2021.02.15
46,GOM2, 고머니2가 펫 쇼핑몰 아크멍에서 결제가 가능,2021.02.15
47,ENJ," 마이크로소프트, 엔진: 세계 여성 과학자의 날을 기념하여 마인크래프트 호환 가능 NFT 출시",2021.02.11
48,OGN, 오리진프로토콜 OUSD 수익률로 OGN바이백(Buyback) 프로그램 발표,2021.02.10
49,PICA," 피카프로젝트, '앙드레 사라이바' 내한 전시 단독진행 및 작품 NFT 화 추진",2021.02.10
50,TSHP, 12Ships 는 파일코인 채굴기 출시를 발표,2021.02.10
51,PXL," 픽션네트워크, 엑시 인피니티와 파트너십 체결",2021.02.10
52,HBAR," 헤데라해시그래프, 스마트 컨트랙트 없이 토큰 발급 및 배포 가능한 HTS 서비스 출시",2021.02.10
53,ITAM, 아이텀 세일 물량 배분 완료,2021.02.10
54,HUM," 휴먼스케이프, ‘대웅제약’과 희귀질환자 데이터 기반 신약 연구 협약",2021.02.09
55,MARO," Maro, 바이트브릿지 글로벌 확장을 위한 에코시스템펀드 출자",2021.02.09
56,TON," 토카막 네트워크, KDAC과 파트너십 체결",2021.02.08
57,ITAM, 아이텀 NFT 중앙화 거래 플랫폼 NFT FARM 개발자 API V1.0 출시,2021.02.08
58,PICA, PICA 토큰 유통량 외에 락업,2021.02.08
59,AERGO, AERGO HUB 베타 버전 출시 – 주요 마일스톤 달성,2021.02.05
60,CBK," 코박, 라이파이낸스, STP 네트워크와 함께 한국 폴카닷 얼라이언스 (KPA) 출범",2021.02.05
61,STPT," STP, 라이 파이낸스 코박과 함께 한국 폴카닷 얼라이언스 출범",2021.02.05
62,STPT," STP 2.0, 커뮤니티 거버넌스 기능 출시",2021.02.04
63,PLA," 플레이댑(PLA), 게임 ‘리그 오브 킹덤즈’ NFT 아이템 거래 지원 시작",2021.02.04
64,GOM2," 주요 경영진 변경 : Kyu Lee, CEO로 선임",2021.02.04
65,HBAR," 공급망 서비스 플랫폼인 SUKU, 이더리움에서 헤데라로 플랫폼 이전",2021.02.04
66,CTSI, 카르테시 신규 로드맵,2021.02.03
67,HUM, HUM 토큰 유통량 변화 안내,2021.02.03
68,PICA, 피카(PICA) 토큰 소각완료 (2 차),2021.02.03
69,WAXP," 왁스 토큰 에포크 3 ( 4,330,000 WAXP) 소각 안내",2021.02.03
70,ELF, 주요마일스톤 달성 공시- 엘프메인넷기능 평가판,2021.02.03
71,TON," 토카막 네트워크, 바운스 파이낸스와 파트너십 체결 및 에어드랍 이벤트 진행",2021.02.02
72,PXL," 픽션네트워크, 2021 년 로드맵 업데이트",2021.02.02
73,ENJ," 엔진코인, 부동산 크라우드펀딩 서비스 LABS와 함께 부동산 투자 접근성 향상",2021.02.02
74,BFC, Bifrost와 BiFi Chainlink와 파트너쉽 체결,2021.02.02
75,AHT, 어뷰징 물량 소각 안내,2021.02.02
76,AERGO," AERGO, 탈중앙화 분산신원 검증 플랫폼 CCCV.to에 DApp 인큐베이션 펀드 지원",2021.02.02
77,SSX, 썸씽 팀원&어드바이저 락업일정 변경 공시,2021.02.02
78,CBK, 코박 전문가칼럼 서비스를 출시,2021.02.01
79,GOM2, 고머니2 거버넌스 투표 기능 오픈,2021.02.01
80,AQT, Alpha Quark Limited(알파쿼크리미티드)에서 AQT의 유통량 공시,2021.02.01
81,PXL," 픽션네트워크, 갤러리 파이낸스 인수로 NFT 사업 가속화",2021.01.29
82,FCT2, 피르마체인 2021년 로드맵 업데이트,2021.01.29
83,MED," 메디블록, KT-빌게이츠 재단과 ‘SHINE’ 앱 출시",2021.01.29
84,HUM," 휴먼스케이프, 서울시 R&D지원사업 ‘서울혁신챌린지’ 우수과제 선정",2021.01.29
85,PICA, 피카 토큰으로 예술 작품판매 대금에 대한 일부 소각공시,2021.01.28
86,ITAM, 아이텀 NFT 기반 카드수집 서비스 덕북 출시,2021.01.28
87,STPT," STP 네트워크, 폴카닷 기반 STP 2.0 출시",2021.01.28
88,HBAR, 호주 직불 사업자 eftpos 헤데라 거버닝 카운슬 합류,2021.01.28
89,DKA," 디카르고, 디스캐너(dScanner) 출시",2021.01.27
90,SAND, 더 샌드박스 1차 퍼블릭 LAND 세일 론칭 예정 (feat. CoinMarketCap 파트너십),2021.01.26
91,AHA," 전문가 1:1 온라인 유료상담플랫폼, 아하커넥츠 베타버전 출시",2021.01.26
92,BFC, BiFi - 코드 공개,2021.01.26
93,GOM2," 애니멀고, 제주신화월드 서비스 프로모션 제휴",2021.01.26
94,SSX," 썸씽(SSX), 일반인 OST 음원발매를 위해 ‘다산북스’ 등과 공동 업무협약 체결",2021.01.26
95,PICA," 피카프로젝트, 세계적인 아티스트 존 버거맨과 손잡고 아트프로젝트 진행",2021.01.25
96,GOM2, 애니멀고 게임 추가 런칭과 NFT화,2021.01.25
97,BFC, BiFi 가스비 최적화 업데이트 및 UI 업데이트,2021.01.22
98,WAXP," 왁스 토큰 21,230,000개 소각 안내",2021.01.22
99,OBSR," 옵저버, 아이오타(IOTA)와 해외시장 진출 업무협약 체결",2021.01.22
100,MLK," 밀크, 블록체인 기반 노래방앱 “썸씽(SOMESING)”과 업무협약 체결",2021.01.22
101,SSX," 썸씽(SSX), 블록체인 기반 포인트 통합 플랫폼 “밀크(MiL.k)”와 업무협약 체결",2021.01.22
102,QKC, 하드웨어 지갑 CoolWallet S 쿼크체인 메인넷 토큰 공식 지원 (1/22),2021.01.22
103,FCT2," 피르마체인, 중국 “무애커뮤니티”와 파트너십 체결",2021.01.22
104,PICA," 피카프로젝트, 픽셀네트워크와 손잡고 미술작품 NFT 화 진행",2021.01.21
105,PXL," 픽션네트워크, 피카와 미술품 NFT 화를 위한 MOU 체결",2021.01.21
106,GOM2, 애니멀고마켓 앱 런칭,2021.01.21
107,HBAR," 에브리웨어와 헤데라 해시그래프, NHS 시설을 위한 코로나 바이러스 백신 콜드체인 모니터링 제공",2021.01.20
108,CBK," CBK, 스테이블 코인 KFD (KFC Dollar) 채굴 풀 추가",2021.01.19
109,ENJ," 엔진코인, 일본 가상화폐 거래소 협회 (JVCEA) 에서 게임코인으로 최초 승인",2021.01.19
110,NPXS, 펀디엑스 토큰 NPXS 토큰 총 2790만개 소각,2021.01.19
111,CHZ," 칠리즈, AC 밀란 클럽과 파트너십 발표",2021.01.18
112,ENJ," Enjin, Miss Bitcoin과 함께 일본 최초 자선 NFT 프로젝트 시작",2021.01.18
113,BFC, BiFi 마일스톤 달성,2021.01.15
114,PXL," 픽션네트워크, 사이버베인의 자회사 크로스(Cross)와 한중 NFT 시장 진출 파트너십 체결",2021.01.15
115,SOLVE," Solve.Care, 블록체인 글로벌 싱크 탱크인 Blockchain Research Institute의 회원이 됨",2021.01.15
116,HBAR, 헤데라21 해커톤: 2021년 1월 19일부터 자산토큰화 주제의 해커톤 개최,2021.01.15
117,WAXP," 왁스, 신규 디파이 모델 기반 보상 지급 시작",2021.01.15
118,SSX, 썸씽(SSX) 크립토 파이낸스 전문기업 “델리오”와 업무협약 체결,2021.01.15
119,PLA," 플레이댑, ‘아스타(ASTA)’ IP 홀더 수퍼트리와 블록버스터급 아스타 MMORPG 모바일게임 서비스를 위한 계약 체결",2021.01.14
120,IOST," 아이오에스티(IOST), 자사 블록체인서 스테이블코인 HUSD 지원",2021.01.14
121,HBAR," 글로벌 공급망 기업 AVC 글로벌, DLT플랫폼으로 헤데라 해시그래프 채택",2021.01.13
122,HBAR, 텍사스주 국무 장관에 기록 검증 관련 PoC 제출,2021.01.12
123,HBAR, 마일스톤 달성 - 헤데라의 메인넷은 1.5년 이내 5억건 이상의 트랜잭션 생성,2021.01.12
124,BORA," BORA(보라), 바른손과 ‘블록체인 기반 영화 제작 투자 및 OTT 플랫폼’ 공동사업 MOU 체결",2021.01.12
125,OBSR, 옵저버 개인기상관측기(Personal Weather Station) “W-Station” 2 차 출시 및 관측 보상 공시,2021.01.12
126,BFC," Bifrost의 디파이 서비스 BiFi 출시, 향후 계획, BFC 유통량, 오딧 리포트",2021.01.08
127,ONIT, 온버프 토큰(ONIT) 투자자 물량 배분 완료 공시 및 유통량 안내,2021.01.08
128,FCT2, 피르마체인 언락 토큰 배분 공시,2021.01.07
129,OGN, 오리진 프로토콜 스테이블 코인 OUSD 업그레이드 재 출시,2021.01.06
130,CHZ, 칠리즈 코인 소각 안내,2021.01.06
131,HUM, HUM 토큰의 현재 유통량 및 향후 계획 안내,2021.01.06
132,FCT2," 피르마체인, 오라클 솔루션 ‘네스트 프로토콜’과 파트너십 체결",2021.01.06
133,AQT," 알파쿼크토큰, 유통량 공시",2021.01.04
134,HUNT," HUNT 프로젝트, 2020년도 4분기 수수료 수입에 관한 헌트 토큰 소각 진행",2021.01.04
135,ARDR, 주요 마일스톤 달성 - 블록체인 팽창 문제 솔루션인 ‘프루닝’ 기능을 v3.0.0e 통해 공개,2020.12.30
136,IQ," 에브리피디아, 미국 최대 통신사 AP 통신과 파트너십 확장하여 미국 상원 선거 결과를 블록체인에 기록",2020.12.29
137,PXL," 픽션네트워크, NFT 개발을 위한 KIP-17 표준으로 통합",2020.12.28
138,CTSI, 카르테시 $CTSI 메인넷 Reserve Mining 출시,2020.12.28
139,RINGX," RINGX 재단, ‘마이비(Mivy)’ 앱 프리 릴리즈",2020.12.28
140,SSX," 썸씽(SSX), 인앱구매 매출에 따른 장내 매수 공시",2020.12.28
141,UPP," 삼성 블록체인 월렛의 웁살라시큐리티 AML 통합 보안 서비스, 전세계 19 개 국가로 확대 지원",2020.12.28
142,FCT2," 피르마체인(FCT2), 장내 매수 완료 공시",2020.12.24
143,SOLVE, Solve.Care에서 의사들을 글로벌 원격의료 익스체인지(GTHE)로 맞이한다,2020.12.24
144,UPP," 웁살라시큐리티, 헥슬란트 ‘옥텟 월렛’서비스에 가상자산 AML 솔루션 통합 계약 체결",2020.12.24
145,TT," 썬더코어 하드포크, TT 메인넷 Soter 로 업그레이드",2020.12.23
146,MLK," 밀크, 도서문화상품권 거래 기능 개발 완료",2020.12.22
147,CBK, CBK 토큰 분배 일정,2020.12.22
148,IQ," 사회적 기업 아이부키, 에브리피디아와 커뮤니티 협업 및 토큰 결제 모델 공동 연구",2020.12.21
149,MOC," 모스랜드, 2020 4Q 모스코인 바이백 결과 안내",2020.12.21
150,PLA, 플레이댑 (PLA) 토큰 발행량 대량 소각 완료 공시,2020.12.18
151,BORA," BORA(보라), 카카오 계열사 ‘카카오게임즈’로부터 콜옵션 행사로 인한 대주주 변경 안내",2020.12.17
152,QKC," 쿼크체인, 메인넷 '빅뱅 (BigBang)' 출시",2020.12.17
153,HUNT, 마일스톤 달성 - 네버루즈머니 출시 및 보안감사 완료,2020.12.16
154,PLA, 플레이댑 (PLA) 토큰 발행량 18 억개(72%) 소각 계획 공시,2020.12.16
155,FCT2," 피르마체인(FCT2), 장내 매수 진행 공시",2020.12.16
156,GOM2, 애니멀고파크 제주신화월드 입점 계약 및 패키지 상품 출시 협약,2020.12.11
157,ENJ," 비디오 게임사 Atari, 엔진과의 협업을 통해 블록체인 게임 본격 진출",2020.12.11
158,STMX, StormX 스테이킹 기능 출시,2020.12.11
159,HBAR," 덴튼스, 헤데라 거버닝 카운슬 새 멤버로 합류",2020.12.10
160,MVL," 엠블 랩스(MVL LABS), 대한민국 4 차 산업혁명 과학정보통신위원회 위원장상 수상",2020.12.10
161,FCT2, 피르마체인(FCT2) 현재 유통량 및 향후 계획 공시,2020.12.09
162,MED," 메디블록, 목포한국병원과 실손 보험 간편 청구 서비스 연동 완료",2020.12.09
163,OBSR, 옵저버 토큰(OBSR) 재락업 및 발행량과 유통량 공시,2020.12.08
164,RINGX," RINGX 재단, 커피에반하다 업무 제휴 협약 체결",2020.12.08
165,HBAR, 헤데라토큰 서비스 백서 및 테스트넷 엑세스 런칭,2020.12.08
166,MED," 메디블록, 현대해상과 실손 보험 간편 청구 서비스 연동 완료",2020.12.08
167,GOM2," 애니멀고, 탐앤탐스와 업무협약",2020.12.07
168,MVL," 엠블 랩스(MVL LABS), 명신 산업과 E-PowerTrain 공동 개발…10,000 대 양산 예정",2020.12.07
169,AQT, Alpha Quark Limited(알파쿼크리미티드) 페이코인의 운영주체인 다날핀테크(Danal Fintech)와 업무협약 체결,2020.12.04
170,PCI," 페이코인, 글로벌 페이먼트 플랫폼 '알파쿼크(Alpha Quark)'와 업무협약(MOU) 체결",2020.12.04
171,CTSI, 카르테시 IR 공시,2020.12.03
172,FCT2," 피르마체인, ‘DTT 얼라이언스’ 파트너십 합류",2020.12.04
173,META, 메타디움 발행량 및 유통량 공시,2020.12.03
174,META," 파이낸셜뉴스, 메타디움 블록체인 기반 설문조사 서비스 fnSurvey 출시",2020.12.03
175,PLA," 플레이댑 ‘크립토도저’ 이모티콘, AI 기반 글로벌 이모티콘 플랫폼 ‘모히톡’ 에 공급",2020.12.02
176,TSHP, 12Ships 재단은 10 월 TSHP 바이백 및 소각을 완료하였습니다.,2020.12.02
177,MED," 메디블록, 시리즈 A 라운드 투자 유치 완료",2020.12.02
178,TON," 토카막 네트워크, DSRV 스테이킹 오퍼레이터 참여 공시",2020.12.01
179,MED," 메디블록, 2020 보건의료 기술사업화 유공자 포상 수상",2020.12.01
180,ARDR," Jelurida, 캐쥬얼 게임 사업 진출을 위한 첫번째 프로젝트 Bridge Champ 발표",2020.11.30
181,ARDR, 기업의 퍼블릭 블록체인 활용 사례로 Geoblockchain 유치 관련 공시,2020.11.30
182,STPT," STP 네트워크, 스테이블 코인 USTP 및 STP DAO 출시",2020.11.30
183,SSX, 썸씽(SSX)의 현재 유통량 및 향후 계획 공시,2020.11.30
184,SSX, 썸씽 팀원&어드바이저 락업일정 변경 공시,2020.11.30
185,ORBS," 오브스(Orbs), POS V2.5 업그레이드 완료 공시",2020.11.30
186,PLA," 플레이댑, 게임 개발사들을 위한 C2C 마켓플레이스 ’스토어프론트’ 베타버전 출시",2020.11.26
187,GOM2," 애니멀고, STP Network 재단과 파트너쉽 업무협약",2020.11.26
188,MLK," 밀크, 한국페이즈 서비스와 도서문화상품권 계약 체결 공시",2020.11.26
189,PLA, 플레이댑 프로젝트 HTML5 기반 신작 ‘와일드 웨스트(Wild West)’ 페이스북 진출,2020.11.24
190,TON, 토카막 네트워크 DTT 얼라이언스 가입,2020.11.24
191,GOM2," 애니멀고, 중화권 부동산 투자업체 JW Capital과 업무협약",2020.11.23
